epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7874,1.60866,3.50142,1.61662,0.00894,0.75455,0.1951,0.11306,1.30925,3.26964,1.32102,0.00011432,0.00011432,0.00011432
2,90.0903,1.40027,2.96929,1.45521,0.00772,0.78636,0.17416,0.06971,1.32578,3.18935,1.31265,0.000234913,0.000234913,0.000234913
3,135.483,1.42261,2.46192,1.40029,1,0.08009,0.30861,0.16505,1.182,2.90572,1.30595,0.000347018,0.000347018,0.000347018
4,177.932,1.36889,2.13357,1.38053,1,0.10451,0.3295,0.19252,1.34336,2.89755,1.39328,0.000450635,0.000450635,0.000450635
5,220.762,1.32099,2.00083,1.34421,0.98917,0.15876,0.3368,0.21949,1.44367,2.73477,1.4476,0.000545764,0.000545764,0.000545764
6,265.536,1.32123,1.83499,1.37346,0.80015,0.33687,0.40851,0.2715,1.32687,2.16464,1.33581,0.000632404,0.000632404,0.000632404
7,308.186,1.31852,1.81724,1.3885,0.87317,0.3197,0.43141,0.24934,1.40517,2.24193,1.43212,0.000710556,0.000710556,0.000710556
8,349.209,1.28182,1.74869,1.33966,0.80932,0.37121,0.44419,0.23622,1.44972,1.99293,1.39713,0.00078022,0.00078022,0.00078022
9,391.393,1.26118,1.64871,1.31817,0.61586,0.34519,0.33935,0.19708,1.50796,2.18766,1.4695,0.000841395,0.000841395,0.000841395
10,433.089,1.32721,1.71044,1.38187,0.41758,0.2557,0.29476,0.14325,1.72701,2.69837,1.61945,0.000894082,0.000894082,0.000894082
11,474.785,1.33145,1.70774,1.32667,0.4575,0.40202,0.38738,0.22376,1.5439,2.35966,1.49499,0.000938281,0.000938281,0.000938281
12,516.794,1.28326,1.64182,1.29405,0.5397,0.51145,0.43704,0.26927,1.45297,1.91978,1.39339,0.000910273,0.000910273,0.000910273
13,562.49,1.21105,1.5237,1.24725,0.57366,0.51706,0.48507,0.29483,1.44985,1.9003,1.38685,0.000863116,0.000863116,0.000863116
14,611.141,1.2814,1.51305,1.30695,0.60578,0.54798,0.52856,0.31167,1.45574,1.89887,1.46597,0.000815959,0.000815959,0.000815959
15,655.572,1.19167,1.43647,1.26485,0.76031,0.49446,0.53465,0.32139,1.38691,1.69957,1.39965,0.000768802,0.000768802,0.000768802
16,697.972,1.23774,1.42409,1.27517,0.58846,0.53434,0.52514,0.31755,1.40307,1.80302,1.38473,0.000721645,0.000721645,0.000721645
17,739.317,1.19891,1.40565,1.24078,0.48075,0.62475,0.50904,0.2942,1.3809,1.80544,1.33148,0.000674488,0.000674488,0.000674488
18,780.537,1.16878,1.37209,1.24244,0.54985,0.53586,0.52474,0.33965,1.24829,1.60696,1.24267,0.000627331,0.000627331,0.000627331
19,821.469,1.12355,1.33007,1.23133,0.59897,0.62936,0.62781,0.44156,1.17923,1.45683,1.21011,0.000580174,0.000580174,0.000580174
20,863.09,1.14952,1.32809,1.21777,0.65712,0.69899,0.6574,0.47114,1.02924,1.29733,1.12629,0.000533017,0.000533017,0.000533017
21,903.162,1.06272,1.39365,1.2055,0.69375,0.6981,0.67391,0.485,1.02881,1.2883,1.10707,0.00048586,0.00048586,0.00048586
22,943.96,1.06098,1.27055,1.19369,0.79736,0.61087,0.66309,0.44802,1.1414,1.33992,1.17842,0.000438703,0.000438703,0.000438703
23,991.023,1.0721,1.2899,1.22698,0.8037,0.58624,0.69698,0.46531,1.12698,1.29406,1.16643,0.000391546,0.000391546,0.000391546
24,1031.71,0.98542,1.18417,1.16849,0.88557,0.6716,0.7411,0.50098,1.05016,1.21462,1.11366,0.000344389,0.000344389,0.000344389
25,1073.88,1.00354,1.15444,1.17409,0.8594,0.6833,0.76503,0.53209,0.98321,1.1725,1.07086,0.000297232,0.000297232,0.000297232
26,1115.39,0.96577,1.09032,1.13405,0.89757,0.68946,0.7761,0.56528,0.95773,1.12904,1.04514,0.000250075,0.000250075,0.000250075
27,1158.41,0.94636,1.09969,1.11675,0.93713,0.67948,0.77141,0.56408,0.95853,1.13665,1.04593,0.000202918,0.000202918,0.000202918
28,1198.46,0.91766,1.06061,1.08231,0.63589,0.72574,0.75086,0.56885,0.93645,1.12533,1.03267,0.000155761,0.000155761,0.000155761
29,1240.71,0.89463,1.04311,1.11047,0.75069,0.79237,0.82017,0.58278,0.9222,1.07206,1.02236,0.000108604,0.000108604,0.000108604
30,1276.06,0.82599,0.9774,1.04414,0.79841,0.7697,0.8067,0.587,0.90985,1.05267,1.01879,6.1447e-05,6.1447e-05,6.1447e-05
